07/04/2015 17:08:42:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":{"name":"Anh ch\u00e0ng \u0111\u00f3ng gi\u00e0y","name_en":"The Cobbler","category":"1","actor":"Adam Sandler, Ellen Barkin, Melonie Diaz, Dan Stevens","director":"\u0111","year":"2014","time":"120","point_imdb":"20","subtitle":"Vi\u1ec7t","country":"M\u1ef9","quality":"HD WED DL","image":"http:\/\/taiphimhd.net\/sites\/default\/files\/imagecache\/thumbhomepage\/images\/2015\/03\/15\/m2l9qtk.jpg","image_small":"http:\/\/taiphimhd.net\/sites\/default\/files\/imagecache\/thumbhomepage\/images\/2015\/03\/15\/m2l9qtk.jpg","trailer":"","description":"<p><span style=\"font-family:times new roman,times,serif\"><span style=\"font-size:16px\">1 b\u1ed9 phim h&agrave;i m\u1edbi do Adam Sandler \u0111&oacute;ng ch&iacute;nh mang t&ecirc;n The Cobbler. Trong phim n&agrave;y Adam v&agrave;o vai m\u1ed9t ng\u01b0\u1eddi th\u1ee3 \u0111&oacute;ng gi&agrave;y v\u1edbi kh\u1ea3 n\u0103ng \u0111\u1eb7c bi\u1ec7t: Anh c&oacute; th\u1ec3 &quot; s\u1ed1ng&quot; cu\u1ed9c s\u1ed1ng c\u1ee7a 1 ng\u01b0\u1eddi kh&aacute;c ( Step into someone&#39;s shoes) trong 1 kho\u1ea3ng th\u1eddi gian nh\u1ea5t \u0111\u1ecbnh. Phim c&ograve;n c&oacute; s\u1ef1 tham gia c\u1ee7a Dustin Hoffman, Method Man, Melonie Diaz, Ellen Barkin, Dan Stevens v&agrave; Steve Buscemi.<\/span><\/span><\/p>\r\n","content":"","link_download":"<p>fsdfsdf<\/p>\r\n","online":"<p>fsdfsdf<\/p>\r\n","is_hot":"1","status":"1","meta_keyword":"dfsdfsd","meta_description":"dsfsdfsd","weight":"3","username":"admin"},"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:08:42:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:09:21:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:11:57:	{"username":"admin","module":"films","class":"films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:11:57:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:12:10:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:12:11:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:12:11:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:12:24:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 17:12:24:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
